Primarytype,Secondarytype,PresentMarkers,SparseMarkers,AbsentMarkers
Vip,Mybpc1,"Vip,Mybpc1,Crispld2,Cxcl14,Tpm2,Itih5,Cox6a2",Tmem182,"Npy2r,Sorl1,Car4"
Vip,Parm1,"Vip,Parm1,Cxcl14,Car4,Tac2","Dmp1,Syt10","Mybpc1,Npy2r,Slc44a5"
Vip,Sncg,"Vip,Sncg,Reln,Npy2r,Tnfaip8l3,Cadps2,2310042E22Rik,Egln3,Tpd52l1,Megf10","Casq2,Edn3",[none]
Vip,Chat,"Vip,Chat,Aebp1,Slc18a3,Pvrl4,Nrp1,Sema5b,Pcdh15,Phlda1",[none],"Crh,Pnoc"
Vip,Gpc3,"Vip,Gpc3,Bcar3,Mab21l1,Pbx3,Nrp1,Crh",[none],[none]
Ndnf,Car4,"Ndnf,Car4,Lamp5,Tnfaip8l3,Atp6ap1l,Gabrd,Npy,Pde11a,Has2,Krt12,2310042E22Rik,Ndst4,Tnnt1,Reln,Mpped1",[none],Runx1t1
Ndnf,Cxcl14,"Ndnf,Cxcl14,Pde1a,Pcdh18,4921511H03Rik,Rgs12,Cd34,Egln3,Thsd7b,Reln,Krt12,2310042E22Rik,Ndst4",Scrg1,Car4
Igtp,Igtp,"Igtp,Igtp,Lhx6,Cdca7,Myo5b,Pdlim3,Efcab6,Tnnt1,Cryab,Nfib,Kit,Lamp5",[none],"Cxcl14,Arhgef3"
Smad3,Smad3,"Smad3,Smad3,Cd34,Sln,Npy,Col14a1,Rasl11a",[none],"Cxcl14,Runx1t1"
Sncg,Sncg,"Sncg,Sncg,Frmd7,Edn3,Tnfaip8l3,Frem1,Scml4,St6galnac5,Pbx3,Fam107a,Krt73,Cyb5r2","Krt73,Cyb5r2",[none]
Sst,Cbln4,"Sst,Cbln4,Kcns3,Rasl11a,Timp3,Adamts18,Ano3,Rasl11a,Tnni3k,Bdnf","Nmbr,Bdnf",Gpx3
Sst,Th,"Sst,Th,Gabrg1,Spp1,Nr4a2,Hspb3,Nts,Myh8",[none],"Rnd3,Ptprd"
Sst,Myh8,"Sst,Myh8,Chrna2,Glra3,Kit,Ppapdc1a,Nr2f2,Gfra2,Myh1,Myh4,Myh13,Grm3,Il1rapl2,Tnni3k,Cartpt",[none],Ptprd
Sst,Cdk6,"Sst,Cdk6,Chrna2,Tmem90a,Nr2f2,Myh4,Myh13,Myh1,C1qtnf7,4930503E14Rik,Gm5622,Gm8267,Efemp1,Grm3,Cartpt","Gm5800,BC061237","Cort,Ptprd,Lrrtm4,Hcn1"
Sst,Tacstd2,"Sst,Tacstd2,Crh,Pla2g4a,Sgpp2,Trpv6,Klhl14,Chrnb3,Grm3,Ano3,Fam5c,Htr2a,Irs4",[none],"Cort,Ptprd,Nacc2"
Sst,Chodl,"Sst,Chodl,Tacr1,Nos1,Bace2,Ccdc109b,Dnase1l3,Gpr126,Gpr151,Gstm6,Hcrtr1,Htr7,Krt18,Insl6,Ndst4,Sit1,9430021M05Rik,Gabrg1,Cdca7,Ndst4,Gpr88,Man1a",Stac,"Cdh12,Ppapdc1a,Slc30a3,Calb1,Spon1,Lrrc4c,Gng13,Galntl6,BC030500,Npas3,Igsf3"
Pvalb,Gpx3,"Pvalb,Gpx3,Th,Calca,Nell1,Fxyd6,Tac1",[none],"Col25a1,Tacr3,Il1rapl2"
Pvalb,Tpbg,"Pvalb,Tpbg,Tacr3,Ednrb,Thsd7a,Fosb,Il1rapl2,Tll1,Col25a1,Calb1,Kit,Etv1,Bdnf,Aloxe3",[none],"Tcap,Cnr1,Drd1a,Pcsk2"
Pvalb,Cpne5,"Pvalb,Cpne5,Nt5e,Cntnap5b,Thsd7a,Snca,Cacna2d3,Kit,Pcdh8,Olfm3,Pdlim3,Nfib,Krt12,Cdca7","1300014I06Rik,Gm4980","Arhgef3,Grik1,Cnr1,Etv1,6330403K07Rik,Rgs4,Satb1,Rpp25"
Pvalb,Tacr3,"Pvalb,Tacr3,Thsd7a,Gm1051,Caln1,Calb1,Il1rapl2,Col25a1,Tac1,Tpbg",Ndst4,[none]
Pvalb,Rspo2,"Pvalb,Rspo2,Gpx3,Akr1c18,Ntf3,Lrrc61,Tac1",[none],"Etv1,Gap43,Kcnd2"
Pvalb,Wt1,"Pvalb,Wt1,Tusc5,Fign,Il1rapl2",[none],"Tac1,Zcchc12,Etv1,Snca,Kirrel3"
Pvalb,Obox3,"Pvalb,Obox3,Acsbg1,Tac1,Il1rapl2",Ier5,Ttc39a
